Gene	c0.05	c0.11	c0.16	c0.22	c0.30	L0.05	L0.11	L0.16	L0.22	L0.30	n0.05	n0.11	n0.16	n0.22	n0.30	p0.05	p0.11	p0.16	p0.22	p0.30	u0.05	u0.11	u0.16	u0.22	u0.30
YOL086C	-3.17144782605214	-2.81195850198058	-2.03463713977255	-1.48341554951955	-1.77655739838225	-1.41324214124244	-0.811396093190865	-0.712038357178431	-0.578726942657607	-0.790732340946676	-1.25010836296248	-0.957797435085166	-0.997515761749785	-1.1126570184111	-0.778767872832286	0.0305167857742631	-0.381113118517841	-0.401906078254086	-0.631540520063294	-0.600868966855244	-1.91555547676779	-1.27767975664072	-1.41328566521106	-1.04029269414866	-0.963324745768271
YOL097C	-0.060203532122965	0.490031713960116	0.324725997997586	0.537949843003627	0.866979577906256	1.18371794562242	1.06313332787442	0.628360531676117	1.08889675941352	1.40750912132636	0.193044234413517	0.569006117307774	0.720045437366826	0.78713364266495	0.998160795134634	0.252727296957045	0.529442082020728	0.703650233827824	0.887757099216749	0.350431585158478	0.362443951833022	0.882571777449444	1.31415637532351	1.07489108285172	0.913142939137706
YOL109W	-0.206549999528311	-0.237956020713398	-0.411020852614721	-0.316758694483833	-0.462526904363277	-0.404460431119875	-0.100021690049798	-0.425581745294361	-0.383482702157852	-0.366974792495639	0.403771292767031	0.2982437118359	0.1897167359508	-0.570729163239658	-0.442684362713802	0.0154562442868861	-0.0907424995903927	-0.269287772602597	-0.301130459804358	-0.35175658918399	-0.483290416884405	-1.19282441923406	-0.331306771990325	-0.52890229184919	-0.274105422459268
YOL111C	0.314021389341292	0.0302019773852689	-1.50750270771858	-0.892247421314847	-0.705797891853528	-0.0343649002058925	-0.311387575613256	-0.078117023461667	0.10171478543935	0.180896313981944	-0.123582201877183	0.416254646649999	-0.000860945751115247	0.139556707347849	0.0545147129202188	-1.24092481710334	-0.877593604121076	-1.02087646989925	0.0259803028980984	0.0505954351244113	-0.111946579556833	0.00285098966124827	0.10327555318035	0.14863193353911	0.032146723535045
YOL121C	1.1548408326753	1.22349527495304	1.27602897939685	1.43094226286581	1.6989784121278	1.45438921838058	1.44469163200842	1.54025072738942	1.60305595292417	1.7611615083418	1.12275379252636	1.01616858824933	1.13259320133613	1.49965260205316	1.58553470026649	0.0692279452084516	0.691965520050289	0.972854648542463	1.41819660446526	1.61837710361094	0.390791411806052	0.887351104922664	1.26856568504877	1.41396172610691	1.62660738729742
YOL123W	0.121276634549078	0.088773736067684	0.0522779613742851	0.0156355840370331	0.230606716362315	0.140716057806394	0.0621814044727275	0.0612798276373095	0.0524854097588955	0.144646523914401	0.744574086148962	0.660665076450844	0.629390666556188	0.281106199170131	0.105370501733365	-0.0249610073529354	0.175005921868871	0.0927811091490445	0.0388912701451389	0.246568389669735	-0.170922051558066	0.0353462422429902	-0.00778238653010986	0.417237466732885	0.109639706959171
YOL126C	-0.557382601387835	-0.644019323413117	-0.321472952733851	-0.250205786859882	-0.219952035233742	-0.199739019941465	-0.210883948170039	0.303451284704252	0.00921767136934454	0.174789430249089	-0.184489933568526	-0.244744521870024	-0.387144705832947	0.191250979285817	-0.125605242380451	-0.262039279702146	-0.352093869308082	-0.178353975108285	-0.0676636668500132	0.373494821795969	-0.655065442670545	-0.231030864486596	-0.293060922266777	-0.142968272307826	-0.0603411595803957
YOL127W	1.00611660206479	1.32001409471141	1.38013840336909	1.59219398747344	1.78330920475232	1.56996414695502	1.50074478803865	1.73165894302055	1.78798709136606	1.79074959102786	1.3047485469607	1.29151055799686	1.47019592232383	1.64895306102045	1.93917292392057	0.329510221906276	0.762224572939856	1.14319735081842	1.39237096180944	1.88811710506559	0.48473017195895	1.10057658579615	1.35231055663797	1.47657660027087	1.72631034246069
YOL139C	-0.012742432660963	0.0288264237858609	0.108714048845091	0.0137319158328959	0.150937408895664	0.0819915918727713	0.202175238680815	0.303996335647406	0.295653730514386	0.420814873245293	0.299749327252005	0.34663999040128	0.193982138162072	0.282792201464869	0.239536716204752	0.323599578513227	0.163228207077821	0.209726865309467	0.223206238658411	0.262920036416173	-0.133561356725393	-0.137451378761077	0.351081510164841	0.200913733267525	0.100228092467179
YOL140W	0.855108703139012	0.700320543221937	0.573965731707762	-0.0376510943771409	0.00599466732010848	2.54287639550284	1.94930327800548	2.13300831453905	1.53536892382342	1.17222765136644	0.754952231563084	0.741115506194444	0.793359436106167	0.548898082322069	1.23405243203155	-0.132581034616172	0.00604536008295741	0.551598232054599	0.464589824034898	1.35252730332689	0.728852195619778	1.22268744251211	1.28791709000622	0.999639865567815	0.49613615065065
